round_id,round_name,source,pub_date,end_date,ticker,weight
1,ChatGPT Start 2024,Finbold,2024-01-15,2024-04-01,MSFT,0.2
1,ChatGPT Start 2024,Finbold,2024-01-15,2024-04-01,ZM,0.2
1,ChatGPT Start 2024,Finbold,2024-01-15,2024-04-01,SHOP,0.2
1,ChatGPT Start 2024,Finbold,2024-01-15,2024-04-01,NVDA,0.2
1,ChatGPT Start 2024,Finbold,2024-01-15,2024-04-01,PFE,0.2
2,ChatGPT Spring 2024,Finbold,2024-04-01,2024-07-01,MSFT,0.2
2,ChatGPT Spring 2024,Finbold,2024-04-01,2024-07-01,AMZN,0.2
2,ChatGPT Spring 2024,Finbold,2024-04-01,2024-07-01,NVDA,0.2
2,ChatGPT Spring 2024,Finbold,2024-04-01,2024-07-01,GOOGL,0.2
2,ChatGPT Spring 2024,Finbold,2024-04-01,2024-07-01,AAPL,0.2
3,ChatGPT H2 2024,Finbold,2024-07-01,2024-12-31,NVDA,0.2
3,ChatGPT H2 2024,Finbold,2024-07-01,2024-12-31,AMZN,0.2
3,ChatGPT H2 2024,Finbold,2024-07-01,2024-12-31,LLY,0.2
3,ChatGPT H2 2024,Finbold,2024-07-01,2024-12-31,MSFT,0.2
3,ChatGPT H2 2024,Finbold,2024-07-01,2024-12-31,TSLA,0.2
4,ChatGPT $1k Portfolio 2025,Finbold,2024-12-31,2025-04-01,LLY,0.15
4,ChatGPT $1k Portfolio 2025,Finbold,2024-12-31,2025-04-01,NVDA,0.15
4,ChatGPT $1k Portfolio 2025,Finbold,2024-12-31,2025-04-01,TSLA,0.1
4,ChatGPT $1k Portfolio 2025,Finbold,2024-12-31,2025-04-01,SHOP,0.1
4,ChatGPT $1k Portfolio 2025,Finbold,2024-12-31,2025-04-01,KO,0.2
4,ChatGPT $1k Portfolio 2025,Finbold,2024-12-31,2025-04-01,AMZN,0.2
5,ChatGPT Q2 2025,Finbold,2025-04-01,2025-10-01,XOM,0.2
5,ChatGPT Q2 2025,Finbold,2025-04-01,2025-10-01,LLY,0.25
5,ChatGPT Q2 2025,Finbold,2025-04-01,2025-10-01,NVDA,0.3
5,ChatGPT Q2 2025,Finbold,2025-04-01,2025-10-01,AMZN,0.25
6,Quartz 5-AI Consensus 2025,Quartz,2025-01-01,2025-12-31,AMZN,0.2
6,Quartz 5-AI Consensus 2025,Quartz,2025-01-01,2025-12-31,NVDA,0.2
6,Quartz 5-AI Consensus 2025,Quartz,2025-01-01,2025-12-31,UNH,0.2
6,Quartz 5-AI Consensus 2025,Quartz,2025-01-01,2025-12-31,V,0.2
6,Quartz 5-AI Consensus 2025,Quartz,2025-01-01,2025-12-31,MSFT,0.2
7,ChatGPT $1k Portfolio 2026,Finbold,2026-01-01,2026-06-23,MSFT,0.25
7,ChatGPT $1k Portfolio 2026,Finbold,2026-01-01,2026-06-23,CEG,0.15
7,ChatGPT $1k Portfolio 2026,Finbold,2026-01-01,2026-06-23,LMT,0.15
7,ChatGPT $1k Portfolio 2026,Finbold,2026-01-01,2026-06-23,LLY,0.1
7,ChatGPT $1k Portfolio 2026,Finbold,2026-01-01,2026-06-23,NVDA,0.2
7,ChatGPT $1k Portfolio 2026,Finbold,2026-01-01,2026-06-23,AMZN,0.15
